Date,Close
10/31/2022 16:00:00,63.58
11/1/2022 16:00:00,65.86
11/2/2022 16:00:00,64.7
11/3/2022 16:00:00,65.21
11/4/2022 16:00:00,69.81
11/7/2022 16:00:00,69.71
11/8/2022 16:00:00,68.13
11/9/2022 16:00:00,64.84
11/10/2022 16:00:00,69.77
11/11/2022 16:00:00,70.77
11/14/2022 16:00:00,71.33
11/15/2022 16:00:00,79.3
11/16/2022 16:00:00,78.16
11/17/2022 16:00:00,84.26
11/18/2022 16:00:00,80.48
11/21/2022 16:00:00,76.93
11/22/2022 16:00:00,75.99
11/23/2022 16:00:00,78.5
11/25/2022 13:00:00,75.5
11/28/2022 16:00:00,75.88
11/29/2022 16:00:00,79.86
11/30/2022 16:00:00,87.56
12/1/2022 16:00:00,85.94
12/2/2022 16:00:00,90.06
12/5/2022 16:00:00,90.52
12/6/2022 16:00:00,91.45
12/7/2022 16:00:00,88.33
12/8/2022 16:00:00,94.17
12/9/2022 16:00:00,91.34
12/12/2022 16:00:00,89.41
12/13/2022 16:00:00,91.41
12/14/2022 16:00:00,90.91
12/15/2022 16:00:00,86.21
12/16/2022 16:00:00,86.79
12/19/2022 16:00:00,87.16
12/20/2022 16:00:00,85.92
12/21/2022 16:00:00,87.81
12/22/2022 16:00:00,87.97
12/23/2022 16:00:00,85.65
12/27/2022 16:00:00,89.86
12/28/2022 16:00:00,87.2
12/29/2022 16:00:00,89.13
12/30/2022 16:00:00,88.09
1/3/2023 16:00:00,91.98
1/4/2023 16:00:00,103.92
1/5/2023 16:00:00,104.58
1/6/2023 16:00:00,107.4
1/9/2023 16:00:00,110.83
1/10/2023 16:00:00,114.88
1/11/2023 16:00:00,115.02
1/12/2023 16:00:00,113.15
1/13/2023 16:00:00,117.01
1/17/2023 16:00:00,115.19
1/18/2023 16:00:00,113.22
1/19/2023 16:00:00,116.58
1/20/2023 16:00:00,119.86
1/23/2023 16:00:00,119.53
1/24/2023 16:00:00,119.44
1/25/2023 16:00:00,120.25
1/26/2023 16:00:00,120.57
1/27/2023 16:00:00,118.38
1/30/2023 16:00:00,111.2
1/31/2023 16:00:00,110.2
2/1/2023 16:00:00,112.82
2/2/2023 16:00:00,109.74
2/3/2023 16:00:00,106.33
2/6/2023 16:00:00,105.45
2/7/2023 16:00:00,105.5
2/8/2023 16:00:00,105.11
2/9/2023 16:00:00,108.46
2/10/2023 16:00:00,103.65
2/13/2023 16:00:00,104.79
2/14/2023 16:00:00,104.22
2/15/2023 16:00:00,103.08
2/16/2023 16:00:00,103.11
2/17/2023 16:00:00,100.01
2/21/2023 16:00:00,95.1
2/22/2023 16:00:00,94.78
2/23/2023 16:00:00,94.16
2/24/2023 16:00:00,89
2/27/2023 16:00:00,89.25
2/28/2023 16:00:00,87.79
3/1/2023 16:00:00,89.95
3/2/2023 16:00:00,89.75
3/3/2023 16:00:00,89.7
3/6/2023 16:00:00,89.62
3/7/2023 16:00:00,88.73
3/8/2023 16:00:00,86.95
3/9/2023 16:00:00,83.37
3/10/2023 16:00:00,82.96
3/13/2023 16:00:00,82.9
3/14/2023 16:00:00,83.85
3/15/2023 16:00:00,81.51
3/16/2023 16:00:00,82.22
3/17/2023 16:00:00,81.67
3/20/2023 16:00:00,81
3/21/2023 16:00:00,83.7
3/22/2023 16:00:00,83.65
3/23/2023 16:00:00,86.52
3/24/2023 16:00:00,86.9
3/27/2023 16:00:00,86.12
3/28/2023 16:00:00,98.4
3/29/2023 16:00:00,99.92
3/30/2023 16:00:00,103.38
3/31/2023 16:00:00,102.18
4/3/2023 16:00:00,98.39
4/4/2023 16:00:00,100.72
4/5/2023 16:00:00,98.55
4/6/2023 16:00:00,102.74
4/10/2023 16:00:00,101.54
4/11/2023 16:00:00,99.76
4/12/2023 16:00:00,93.84
4/13/2023 16:00:00,96.17
4/14/2023 16:00:00,94.55
4/17/2023 16:00:00,96.42
